Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,3000.0 um
Duration,30 sec
Resolution,0.333 um/sample
Force,3.00 mg
Measurement Range,6.5 um
Profile,Hills&Valleys
Display Range,Auto
R. Cursor,Pos: 2970.3 um Width: 2472.1 um
M. Cursor,Pos: 55.9 um Width: 2506.9 um

Scan Data
Lateral um,Raw Angstrom,
97.0,-633.0,,
97.3,-642.8,,
97.7,-658.2,,
98.0,-670.6,,
98.3,-680.5,,
98.7,-689.4,,
99.0,-703.5,,
99.3,-713.7,,
99.7,-724.4,,
100.0,-735.7,,
100.3,-743.3,,
100.7,-752.6,,
101.0,-759.8,,
101.3,-772.2,,
101.7,-783.1,,
102.0,-792.2,,
102.3,-800.2,,
102.7,-804.3,,
103.0,-809.4,,
103.3,-820.2,,
103.7,-833.5,,
104.0,-843.9,,
104.3,-855.2,,
104.7,-864.6,,
105.0,-873.8,,
105.3,-885.0,,
105.7,-899.0,,
106.0,-906.4,,
106.3,-915.6,,
106.7,-925.4,,
107.0,-936.5,,
107.3,-948.3,,
107.7,-965.0,,
108.0,-976.9,,
108.3,-985.5,,
108.7,-995.5,,
109.0,-1002.8,,
109.3,-1010.4,,
109.7,-1023.4,,
110.0,-1034.4,,
110.3,-1040.6,,
110.7,-1047.1,,
111.0,-1054.5,,
111.3,-1066.9,,
111.7,-1081.2,,
112.0,-1099.0,,
112.3,-1107.8,,
112.7,-1115.5,,
113.0,-1118.9,,
113.3,-1123.4,,
113.7,-1133.6,,
114.0,-1147.1,,
114.3,-1157.1,,
114.7,-1165.0,,
115.0,-1170.0,,
115.3,-1180.3,,
115.7,-1193.0,,
116.0,-1202.8,,
116.3,-1212.3,,
116.7,-1221.0,,
117.0,-1225.1,,
117.3,-1230.9,,
117.7,-1242.8,,
118.0,-1252.8,,
118.3,-1261.1,,
118.7,-1267.4,,
119.0,-1267.9,,
119.3,-1270.9,,
119.7,-1279.4,,
120.0,-1287.3,,
120.3,-1292.7,,
120.7,-1298.5,,
121.0,-1300.6,,
121.3,-1302.7,,
121.7,-1311.0,,
122.0,-1319.4,,
122.3,-1320.6,,
122.7,-1323.8,,
123.0,-1325.1,,
123.3,-1321.3,,
123.7,-1325.0,,
124.0,-1331.5,,
124.3,-1334.7,,
124.7,-1334.6,,
125.0,-1337.3,,
125.3,-1337.4,,
125.7,-1340.1,,
126.0,-1341.3,,
126.3,-1345.3,,
126.7,-1342.5,,
127.0,-1338.3,,
127.3,-1335.2,,
127.7,-1335.0,,
128.0,-1335.1,,
128.3,-1335.8,,
128.7,-1335.4,,
129.0,-1333.1,,
129.3,-1329.5,,
129.7,-1327.9,,
130.0,-1329.1,,
130.3,-1328.4,,
130.7,-1325.3,,
131.0,-1317.9,,
131.3,-1311.1,,
131.7,-1308.3,,
132.0,-1309.1,,
132.3,-1306.9,,
132.7,-1303.4,,
133.0,-1293.8,,
133.3,-1284.0,,
133.7,-1276.9,,
134.0,-1276.6,,
134.3,-1271.7,,
134.7,-1265.1,,
135.0,-1260.3,,
135.3,-1250.2,,
135.7,-1241.9,,
136.0,-1240.7,,
136.3,-1237.4,,
136.7,-1228.6,,
137.0,-1215.6,,
137.3,-1202.5,,
137.7,-1189.7,,
138.0,-1182.7,,
138.3,-1177.7,,
138.7,-1171.7,,
139.0,-1157.5,,
139.3,-1144.4,,
139.7,-1128.0,,
140.0,-1118.7,,
140.3,-1111.4,,
140.7,-1102.3,,
141.0,-1086.7,,
141.3,-1071.8,,
141.7,-1057.5,,
142.0,-1046.8,,
142.3,-1039.8,,
142.7,-1030.7,,
143.0,-1019.0,,
143.3,-1000.2,,
143.7,-984.8,,
144.0,-973.6,,
144.3,-965.2,,
144.7,-953.4,,
145.0,-942.6,,
145.3,-924.6,,
145.7,-907.0,,
146.0,-893.3,,
146.3,-884.4,,
146.7,-873.0,,
147.0,-858.9,,
147.3,-840.1,,
147.7,-818.2,,
148.0,-804.7,,
148.3,-793.4,,
148.7,-783.6,,
149.0,-771.0,,
149.3,-753.6,,
149.7,-731.9,,
150.0,-717.3,,
150.3,-708.9,,
150.7,-696.3,,
151.0,-684.3,,
151.3,-670.7,,
151.7,-652.4,,
152.0,-635.6,,
152.3,-631.9,,
152.7,-625.6,,
153.0,-616.9,,
153.3,-602.5,,
153.7,-584.8,,
154.0,-567.1,,
154.3,-555.5,,
154.7,-547.3,,
155.0,-533.4,,
155.3,-519.6,,
155.7,-499.8,,
156.0,-479.4,,
156.3,-464.6,,
156.7,-452.3,,
157.0,-435.9,,
157.3,-417.7,,
157.7,-394.5,,
158.0,-374.1,,
158.3,-354.3,,
158.7,-338.1,,
159.0,-324.3,,
159.3,-307.1,,
159.7,-281.8,,
160.0,-260.5,,
160.3,-244.1,,
160.7,-225.0,,
161.0,-211.0,,
161.3,-196.9,,
161.7,-173.1,,
162.0,-144.5,,
162.3,-127.7,,
162.7,-109.2,,
163.0,-91.2,,
163.3,-74.6,,
163.7,-51.4,,
164.0,-23.3,,
164.3,-1.4,,
164.7,15.0,,
165.0,32.2,,
165.3,46.3,,
165.7,68.9,,
166.0,95.3,,
166.3,118.5,,
166.7,138.9,,
167.0,155.7,,
167.3,174.6,,
167.7,198.1,,
168.0,222.3,,
168.3,244.2,,
168.7,258.0,,
169.0,270.9,,
169.3,282.9,,
169.7,300.6,,
170.0,320.7,,
170.3,341.0,,
170.7,358.7,,
171.0,370.7,,
171.3,381.7,,
171.7,398.8,,
172.0,418.8,,
172.3,435.6,,
172.7,450.4,,
173.0,462.4,,
173.3,472.8,,
173.7,488.8,,
174.0,510.4,,
174.3,530.7,,
174.7,545.1,,
175.0,556.7,,
175.3,561.5,,
175.7,571.6,,
176.0,583.0,,
176.3,599.5,,
176.7,606.4,,
177.0,614.3,,
177.3,620.1,,
177.7,626.8,,
178.0,641.1,,
178.3,657.1,,
178.7,665.8,,
179.0,674.0,,
179.3,680.3,,
179.7,684.2,,
180.0,694.0,,
180.3,705.1,,
180.7,712.6,,
181.0,716.3,,
181.3,721.5,,
181.7,725.8,,
182.0,736.2,,
182.3,745.6,,
182.7,755.0,,
183.0,761.9,,
183.3,770.7,,
183.7,778.1,,
184.0,787.6,,
184.3,799.8,,
184.7,812.4,,
185.0,819.7,,
185.3,828.0,,
185.7,838.2,,
186.0,850.7,,
186.3,861.7,,
186.7,876.4,,
187.0,892.2,,
187.3,903.9,,
187.7,915.5,,
188.0,934.3,,
188.3,946.7,,
188.7,957.9,,
189.0,970.9,,
189.3,982.5,,
189.7,989.8,,
190.0,999.1,,
190.3,1013.7,,
190.7,1023.3,,
191.0,1035.8,,
191.3,1047.3,,
191.7,1056.2,,
192.0,1060.4,,
192.3,1072.1,,
192.7,1080.1,,
193.0,1091.4,,
193.3,1101.9,,
193.7,1110.2,,
194.0,1117.2,,
194.3,1130.4,,
194.7,1141.7,,
195.0,1151.8,,
195.3,1159.7,,
195.7,1165.7,,
196.0,1168.6,,
196.3,1176.4,,
196.7,1185.5,,
197.0,1194.4,,
197.3,1199.8,,
197.7,1206.1,,
198.0,1213.7,,
198.3,1218.3,,
198.7,1223.5,,
199.0,1226.5,,
199.3,1230.4,,
199.7,1230.1,,
200.0,1234.9,,
200.3,1241.2,,
200.7,1244.8,,
201.0,1248.4,,
201.3,1253.7,,
201.7,1255.3,,
202.0,1256.5,,
202.3,1259.7,,
202.7,1259.5,,
203.0,1260.4,,
203.3,1264.3,,
203.7,1265.7,,
204.0,1267.4,,
204.3,1271.2,,
204.7,1271.1,,
205.0,1271.1,,
205.3,1271.7,,
205.7,1271.5,,
206.0,1269.4,,
206.3,1267.9,,
206.7,1266.6,,
207.0,1261.4,,
207.3,1258.6,,
207.7,1257.5,,
208.0,1254.3,,
208.3,1253.6,,
208.7,1252.5,,
209.0,1248.9,,
209.3,1244.8,,
209.7,1240.7,,
210.0,1238.8,,
210.3,1238.8,,
210.7,1237.9,,
211.0,1238.4,,
211.3,1238.4,,
211.7,1238.9,,
212.0,1237.9,,
212.3,1236.1,,
212.7,1233.5,,
213.0,1231.8,,
213.3,1229.9,,
213.7,1227.0,,
214.0,1226.8,,
214.3,1228.6,,
214.7,1229.1,,
215.0,1228.8,,
215.3,1230.4,,
215.7,1228.5,,
216.0,1224.4,,
216.3,1221.4,,
216.7,1222.8,,
217.0,1219.7,,
217.3,1220.8,,
217.7,1220.4,,
218.0,1218.3,,
218.3,1216.0,,
218.7,1215.8,,
219.0,1210.2,,
219.3,1205.3,,
219.7,1202.3,,
220.0,1196.2,,
220.3,1186.8,,
220.7,1183.3,,
221.0,1177.3,,
221.3,1169.6,,
221.7,1168.4,,
222.0,1165.8,,
222.3,1159.2,,
222.7,1152.0,,
223.0,1146.9,,
223.3,1138.2,,
223.7,1132.7,,
224.0,1131.7,,
224.3,1123.8,,
224.7,1117.0,,
225.0,1110.2,,
225.3,1102.7,,
225.7,1095.7,,
226.0,1088.9,,
226.3,1081.6,,
226.7,1069.9,,
227.0,1055.5,,
227.3,1043.6,,
227.7,1038.4,,
228.0,1029.7,,
228.3,1021.0,,
228.7,1010.5,,
229.0,998.3,,
229.3,983.9,,
229.7,974.8,,
230.0,965.2,,
230.3,957.7,,
230.7,948.1,,
231.0,934.6,,
231.3,924.2,,
231.7,917.4,,
232.0,909.9,,
232.3,898.7,,
232.7,887.7,,
233.0,873.3,,
233.3,857.0,,
233.7,848.1,,
234.0,839.8,,
234.3,828.4,,
234.7,818.2,,
235.0,807.3,,
235.3,795.2,,
235.7,782.6,,
236.0,776.3,,
236.3,766.0,,
236.7,754.3,,
237.0,741.3,,
237.3,727.2,,
237.7,715.3,,
238.0,708.8,,
238.3,702.5,,
238.7,693.2,,
239.0,678.2,,
239.3,659.7,,
239.7,644.9,,
240.0,633.0,,
240.3,625.9,,
240.7,617.6,,
241.0,604.9,,
241.3,589.7,,
241.7,580.2,,
242.0,569.9,,
242.3,560.0,,
242.7,553.9,,
243.0,540.1,,
243.3,518.0,,
243.7,500.6,,
244.0,487.6,,
244.3,476.9,,
244.7,468.1,,
245.0,459.1,,
245.3,438.1,,
245.7,420.2,,
246.0,406.3,,
246.3,392.4,,
246.7,378.8,,
247.0,365.1,,
247.3,342.5,,
247.7,323.5,,
248.0,309.3,,
248.3,299.6,,
248.7,287.3,,
249.0,274.6,,
249.3,254.4,,
249.7,236.1,,
250.0,221.0,,
250.3,210.9,,
250.7,200.9,,
251.0,189.9,,
251.3,176.9,,
251.7,162.2,,
252.0,147.8,,
252.3,135.7,,
252.7,125.9,,
253.0,110.4,,
253.3,90.9,,
253.7,70.8,,
254.0,55.8,,
254.3,45.0,,
254.7,39.1,,
255.0,33.6,,
255.3,24.8,,
255.7,9.9,,
256.0,-2.3,,
256.3,-10.8,,
256.7,-16.1,,
257.0,-21.6,,
257.3,-31.2,,
257.7,-41.8,,
258.0,-49.8,,
258.3,-53.4,,
258.7,-55.6,,
259.0,-54.0,,
259.3,-59.3,,
259.7,-71.9,,
260.0,-79.3,,
260.3,-85.8,,
260.7,-91.1,,
261.0,-92.8,,
261.3,-96.2,,
261.7,-109.2,,
262.0,-116.4,,
262.3,-119.6,,
262.7,-121.5,,
263.0,-123.6,,
263.3,-122.8,,
263.7,-131.0,,
264.0,-137.1,,
264.3,-139.2,,
264.7,-139.3,,
265.0,-137.3,,
265.3,-137.1,,
265.7,-141.0,,
266.0,-150.6,,
266.3,-153.9,,
266.7,-155.4,,
267.0,-153.5,,
267.3,-153.5,,
267.7,-155.2,,
268.0,-157.7,,
268.3,-157.9,,
268.7,-157.8,,
269.0,-152.8,,
269.3,-151.4,,
269.7,-156.1,,
270.0,-162.2,,
270.3,-166.6,,
270.7,-170.1,,
271.0,-166.8,,
271.3,-167.1,,
271.7,-172.3,,
272.0,-175.6,,
272.3,-173.4,,
272.7,-175.4,,
273.0,-174.2,,
273.3,-171.8,,
273.7,-174.9,,
274.0,-176.8,,
274.3,-177.1,,
274.7,-175.5,,
275.0,-173.2,,
275.3,-167.8,,
275.7,-167.5,,
276.0,-167.0,,
276.3,-165.3,,
276.7,-163.0,,
277.0,-162.5,,
277.3,-158.9,,
277.7,-154.9,,
278.0,-154.1,,
278.3,-154.1,,
278.7,-148.3,,
279.0,-142.8,,
279.3,-137.7,,
279.7,-135.3,,
280.0,-134.4,,
280.3,-135.3,,
280.7,-134.7,,
281.0,-131.8,,
281.3,-127.2,,
281.7,-124.2,,
282.0,-121.5,,
282.3,-118.1,,
282.7,-112.6,,
283.0,-105.7,,
283.3,-100.5,,
283.7,-97.5,,
